hour,Actual Power_Mean,Actual Power_Max,Actual Power_Std,Theoretical Power_Mean,Theoretical Power_Max,Theoretical Power_Std,Average Irradiance
0,1.086,3.315,0.863,0.0,0.0,0.0,231.555
1,1.827,4.233,1.09,0.0,0.0,0.0,362.852
2,2.441,4.852,1.23,0.0,0.0,0.0,469.367
3,2.838,5.052,1.246,0.0,0.0,0.0,537.207
4,2.896,5.196,1.231,0.152,26.0,1.876,559.639
5,2.728,5.523,1.225,1.039,26.0,3.376,538.47
6,2.342,4.7,1.164,0.39,1.979,0.58,471.343
7,1.761,4.148,1.07,0.231,1.125,0.317,366.626
8,1.031,3.308,0.856,0.156,0.742,0.202,233.515
9,0.388,2.341,0.49,0.084,0.477,0.116,104.611
10,0.073,0.875,0.152,0.026,0.26,0.051,28.324
11,0.002,0.2,0.014,0.002,0.079,0.009,1.938
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.005,0.38,0.026,0.0,0.0,0.0,3.078
22,0.093,1.03,0.186,0.0,0.0,0.0,29.852
23,0.436,2.159,0.512,0.0,0.0,0.0,104.271
