起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/11/24 00:00,2018/11/24 00:00,0.256641,0.25060081481933594
2018/11/24 00:15,2018/11/24 00:15,0.4253909999999999,0.42364501953125
2018/11/24 00:30,2018/11/24 00:30,0.6503909999999999,0.6385762095451355
2018/11/24 00:45,2018/11/24 00:45,0.794531,0.7600343227386475
2018/11/24 01:00,2018/11/24 01:00,1.103906,1.158250331878662
2018/11/24 01:15,2018/11/24 01:15,1.325391,1.312791347503662
2018/11/24 01:30,2018/11/24 01:30,1.490625,1.4774997234344482
2018/11/24 01:45,2018/11/24 01:45,1.6945310000000002,1.5916666984558105
2018/11/24 02:00,2018/11/24 02:00,1.835156,1.8801976442337036
2018/11/24 02:15,2018/11/24 02:15,2.144531,2.101724863052368
2018/11/24 02:30,2018/11/24 02:30,2.313281,2.249459981918335
2018/11/24 02:45,2018/11/24 02:45,2.513672,2.4887301921844482
2018/11/24 03:00,2018/11/24 03:00,2.636719,2.574056625366211
2018/11/24 03:15,2018/11/24 03:15,2.805469,2.876331090927124
2018/11/24 03:30,2018/11/24 03:30,2.886328,2.913372039794922
2018/11/24 03:45,2018/11/24 03:45,2.903906,2.894286870956421
2018/11/24 04:00,2018/11/24 04:00,2.939062,3.004848003387451
2018/11/24 04:15,2018/11/24 04:15,2.949609,3.004848003387451
2018/11/24 04:30,2018/11/24 04:30,2.865234,2.8766283988952637
2018/11/24 04:45,2018/11/24 04:45,2.707031,2.7780044078826904
2018/11/24 05:00,2018/11/24 05:00,2.826562,2.857597589492798
2018/11/24 05:15,2018/11/24 05:15,2.685937,2.6295554637908936
2018/11/24 05:30,2018/11/24 05:30,2.3695310000000003,2.3811161518096924
2018/11/24 05:45,2018/11/24 05:45,2.242969,2.289905548095703
2018/11/24 06:00,2018/11/24 06:00,2.186719,2.239908456802368
2018/11/24 06:15,2018/11/24 06:15,1.666406,1.6043637990951538
2018/11/24 06:30,2018/11/24 06:30,1.648828,1.7905946969985962
2018/11/24 06:45,2018/11/24 06:45,1.532812,1.5921807289123535
2018/11/24 07:00,2018/11/24 07:00,1.314844,1.1801506280899048
2018/11/24 07:15,2018/11/24 07:15,1.29375,1.1664645671844482
2018/11/24 07:30,2018/11/24 07:30,0.39375,0.6292152404785156
2018/11/24 07:45,2018/11/24 07:45,0.407813,0.3668971657752991
