起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/11/24 00:00,2018/11/24 00:00,0.256641,0.2616349458694458
2018/11/24 00:15,2018/11/24 00:15,0.4253909999999999,0.4073347747325897
2018/11/24 00:30,2018/11/24 00:30,0.6503909999999999,0.6207261681556702
2018/11/24 00:45,2018/11/24 00:45,0.794531,0.8294087052345276
2018/11/24 01:00,2018/11/24 01:00,1.103906,1.154758334159851
2018/11/24 01:15,2018/11/24 01:15,1.325391,1.3356231451034546
2018/11/24 01:30,2018/11/24 01:30,1.490625,1.5039511919021606
2018/11/24 01:45,2018/11/24 01:45,1.6945310000000002,1.8014092445373535
2018/11/24 02:00,2018/11/24 02:00,1.835156,2.0003445148468018
2018/11/24 02:15,2018/11/24 02:15,2.144531,2.1872458457946777
2018/11/24 02:30,2018/11/24 02:30,2.313281,2.3799545764923096
2018/11/24 02:45,2018/11/24 02:45,2.513672,2.6188244819641113
2018/11/24 03:00,2018/11/24 03:00,2.636719,2.685880422592163
2018/11/24 03:15,2018/11/24 03:15,2.805469,2.769775390625
2018/11/24 03:30,2018/11/24 03:30,2.886328,2.8386082649230957
2018/11/24 03:45,2018/11/24 03:45,2.903906,2.9821221828460693
2018/11/24 04:00,2018/11/24 04:00,2.939062,2.937069892883301
2018/11/24 04:15,2018/11/24 04:15,2.949609,3.0153868198394775
2018/11/24 04:30,2018/11/24 04:30,2.865234,2.953073263168335
2018/11/24 04:45,2018/11/24 04:45,2.707031,2.810262441635132
2018/11/24 05:00,2018/11/24 05:00,2.826562,2.6983585357666016
2018/11/24 05:15,2018/11/24 05:15,2.685937,2.7636349201202393
2018/11/24 05:30,2018/11/24 05:30,2.3695310000000003,2.4070370197296143
2018/11/24 05:45,2018/11/24 05:45,2.242969,2.3253321647644043
2018/11/24 06:00,2018/11/24 06:00,2.186719,2.2484681606292725
2018/11/24 06:15,2018/11/24 06:15,1.666406,1.8767623901367188
2018/11/24 06:30,2018/11/24 06:30,1.648828,1.780367136001587
2018/11/24 06:45,2018/11/24 06:45,1.532812,1.4454816579818726
2018/11/24 07:00,2018/11/24 07:00,1.314844,1.2903177738189697
2018/11/24 07:15,2018/11/24 07:15,1.29375,1.1508288383483887
2018/11/24 07:30,2018/11/24 07:30,0.39375,0.6972635388374329
2018/11/24 07:45,2018/11/24 07:45,0.407813,0.42382627725601196
2018/11/24 08:00,2018/11/24 08:00,0.5625,0.4173777103424072
2018/11/24 08:15,2018/11/24 08:15,0.2355469999999999,0.33749446272850037
2018/11/24 08:30,2018/11/24 08:30,0.105469,0.12841086089611053
2018/11/24 08:45,2018/11/24 08:45,0.007031,0.05215557664632797
2018/11/24 09:00,2018/11/24 09:00,0.0,0.008706300519406796
2018/11/24 09:15,2018/11/24 09:15,0.0,0.0
2018/11/24 09:30,2018/11/24 09:30,0.0,0.0
2018/11/24 09:45,2018/11/24 09:45,0.0,0.0
2018/11/24 10:00,2018/11/24 10:00,0.0,0.0
2018/11/24 10:15,2018/11/24 10:15,0.0,0.0
2018/11/24 10:30,2018/11/24 10:30,0.0,0.0
2018/11/24 10:45,2018/11/24 10:45,0.0,0.0
2018/11/24 11:00,2018/11/24 11:00,0.0,0.0
2018/11/24 11:15,2018/11/24 11:15,0.0,0.0
2018/11/24 11:30,2018/11/24 11:30,0.0,0.0
2018/11/24 11:45,2018/11/24 11:45,0.0,0.0
2018/11/24 12:00,2018/11/24 12:00,0.0,0.0
2018/11/24 12:15,2018/11/24 12:15,0.0,0.0
2018/11/24 12:30,2018/11/24 12:30,0.0,0.0
