起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/08/25 00:00,2018/08/25 00:00,1.322,1.314
2018/08/25 00:15,2018/08/25 00:15,1.561,1.610
2018/08/25 00:30,2018/08/25 00:30,1.793,1.868
2018/08/25 00:45,2018/08/25 00:45,2.018,2.058
2018/08/25 01:00,2018/08/25 01:00,2.123,2.114
2018/08/25 01:15,2018/08/25 01:15,2.412,2.336
2018/08/25 01:30,2018/08/25 01:30,2.654,2.679
2018/08/25 01:45,2018/08/25 01:45,2.795,2.776
2018/08/25 02:00,2018/08/25 02:00,2.929,2.858
2018/08/25 02:15,2018/08/25 02:15,3.118,3.080
2018/08/25 02:30,2018/08/25 02:30,3.196,3.119
2018/08/25 02:45,2018/08/25 02:45,3.463,3.504
2018/08/25 03:00,2018/08/25 03:00,3.593,3.553
2018/08/25 03:15,2018/08/25 03:15,3.614,3.707
2018/08/25 03:30,2018/08/25 03:30,3.783,3.644
2018/08/25 03:45,2018/08/25 03:45,3.526,3.663
2018/08/25 04:00,2018/08/25 04:00,2.879,3.417
2018/08/25 04:15,2018/08/25 04:15,2.496,2.765
2018/08/25 04:30,2018/08/25 04:30,4.029,3.429
2018/08/25 04:45,2018/08/25 04:45,3.695,3.652
2018/08/25 05:00,2018/08/25 05:00,2.904,2.760
2018/08/25 05:15,2018/08/25 05:15,2.415,2.920
2018/08/25 05:30,2018/08/25 05:30,3.966,3.556
2018/08/25 05:45,2018/08/25 05:45,3.277,3.404
2018/08/25 06:00,2018/08/25 06:00,3.213,3.148
2018/08/25 06:15,2018/08/25 06:15,2.630,2.655
2018/08/25 06:30,2018/08/25 06:30,1.800,2.247
2018/08/25 06:45,2018/08/25 06:45,2.584,2.254
2018/08/25 07:00,2018/08/25 07:00,1.993,2.243
2018/08/25 07:15,2018/08/25 07:15,1.916,1.815
2018/08/25 07:30,2018/08/25 07:30,2.753,2.313
2018/08/25 07:45,2018/08/25 07:45,1.888,1.762
2018/08/25 08:00,2018/08/25 08:00,1.382,1.352
2018/08/25 08:15,2018/08/25 08:15,1.888,1.643
2018/08/25 08:30,2018/08/25 08:30,1.638,1.390
2018/08/25 08:45,2018/08/25 08:45,1.160,1.205
2018/08/25 09:00,2018/08/25 09:00,0.559,0.801
2018/08/25 09:15,2018/08/25 09:15,0.830,0.558
2018/08/25 09:30,2018/08/25 09:30,0.443,0.540
2018/08/25 09:45,2018/08/25 09:45,0.334,0.307
2018/08/25 10:00,2018/08/25 10:00,0.236,0.204
2018/08/25 10:15,2018/08/25 10:15,0.165,0.146
2018/08/25 10:30,2018/08/25 10:30,0.039,0.038
2018/08/25 10:45,2018/08/25 10:45,0.000,0.028
2018/08/25 11:00,2018/08/25 11:00,0.000,0.000
2018/08/25 11:15,2018/08/25 11:15,0.000,0.000
2018/08/25 11:30,2018/08/25 11:30,0.000,0.000
2018/08/25 11:45,2018/08/25 11:45,0.000,0.000
2018/08/25 12:00,2018/08/25 12:00,0.000,0.000
2018/08/25 12:15,2018/08/25 12:15,0.000,0.000
2018/08/25 12:30,2018/08/25 12:30,0.000,0.000
2018/08/25 12:45,2018/08/25 12:45,0.000,0.000
2018/08/25 13:00,2018/08/25 13:00,0.000,0.000
2018/08/25 13:15,2018/08/25 13:15,0.000,0.000
2018/08/25 13:30,2018/08/25 13:30,0.000,0.000
2018/08/25 13:45,2018/08/25 13:45,0.000,0.000
2018/08/25 14:00,2018/08/25 14:00,0.000,0.000
2018/08/25 14:15,2018/08/25 14:15,0.000,0.000
2018/08/25 14:30,2018/08/25 14:30,0.000,0.000
2018/08/25 14:45,2018/08/25 14:45,0.000,0.000
2018/08/25 15:00,2018/08/25 15:00,0.000,0.000
2018/08/25 15:15,2018/08/25 15:15,0.000,0.000
2018/08/25 15:30,2018/08/25 15:30,0.000,0.000
2018/08/25 15:45,2018/08/25 15:45,0.000,0.000
